name,culture,house,house2,id,label,title,gender,superculture
Leonette Fossoway,Unknown Culture,House Fossoway,NA,Leonette Fossoway,Leonette Fossoway,Leonette Fossoway,female,Unknown Culture
Lia Serry,Unknown Culture,House Serry,NA,Lia Serry,Lia Serry,Lia Serry,female,Unknown Culture
Loras Tyrell,The Reach,House Tyrell,House Tyrell,Loras Tyrell,Loras Tyrell,Loras Tyrell,male,Reach Cultures
Luthor Tyrell,Reach,House Tyrell,House Tyrell,Luthor Tyrell,Luthor Tyrell,Luthor Tyrell,male,Reach Cultures
Luthor Tyrell son of Moryn,Unknown Culture,House Tyrell,House Tyrell,Luthor Tyrell son of Moryn,Luthor Tyrell son of Moryn,Luthor Tyrell son of Moryn,male,Unknown Culture
Luthor Tyrell son of Theodore,Unknown Culture,House Tyrell,House Tyrell,Luthor Tyrell son of Theodore,Luthor Tyrell son of Theodore,Luthor Tyrell son of Theodore,male,Unknown Culture
Mace Tyrell,Unknown Culture,House Tyrell,House Tyrell,Mace Tyrell,Mace Tyrell,Mace Tyrell,male,Unknown Culture
Medwick Tyrell,Unknown Culture,House Tyrell,House Tyrell,Medwick Tyrell,Medwick Tyrell,Medwick Tyrell,male,Unknown Culture
Mina Tyrell,Unknown Culture,House Tyrell,House Tyrell,Mina Tyrell,Mina Tyrell,Mina Tyrell,female,Unknown Culture
Moryn Tyrell,Unknown Culture,House Tyrell,House Tyrell,Moryn Tyrell,Moryn Tyrell,Moryn Tyrell,male,Unknown Culture
Olene Tyrell,Unknown Culture,House Moryn,NA,Olene Tyrell,Olene Tyrell,Olene Tyrell,female,Unknown Culture
Olenna Redwyne,Unknown Culture,House Redwyne,NA,Olenna Redwyne,Olenna Redwyne,Olenna Redwyne,female,Unknown Culture
Paxter Redwyne,Unknown Culture,House Redwyne,NA,Paxter Redwyne,Paxter Redwyne,Paxter Redwyne,male,Unknown Culture
Theodore Tyrell,Unknown Culture,House Tyrell,House Tyrell,Theodore Tyrell,Theodore Tyrell,Theodore Tyrell,male,Unknown Culture
Unknown father Tyrell,Unknown Culture,House Tyrell,House Tyrell,Unknown father Tyrell,Unknown father Tyrell,Unknown father Tyrell,male,Unknown Culture
Unknown mother Tyrell,Unknown Culture,House Tyrell,House Tyrell,Unknown mother Tyrell,Unknown mother Tyrell,Unknown mother Tyrell,female,Unknown Culture
Willas Tyrell,Unknown Culture,House Tyrell,House Tyrell,Willas Tyrell,Willas Tyrell,Willas Tyrell,male,Unknown Culture
