source,target,type
Merrett Frey,Mariya Darry,spouse
Edmure Tully,Roslin Frey,spouse
Genna Lannister,Emmon Frey,spouse
Roslin Frey,Edmure Tully,spouse
Perra Royce,Walder Frey,spouse
Amarei Crakehall,Walder Frey,spouse
Bethany Rosby,Walder Frey,spouse
Quellon Greyjoy,Lady of House Stonetree,spouse
Erik Ironmaker,Asha (Yara) Greyjoy,spouse
Alannys Harlaw,Balon Greyjoy,spouse
Asha (Yara) Greyjoy,Erik Ironmaker,spouse
Quellon Greyjoy,Lady of House Sunderly,spouse
Quellon Greyjoy,Lady of House Piper,spouse
Stafford Lannister,Myranda Lefford,spouse
Damon Lannister,Cerissa Brax,spouse
Damon Lannister son of Jason,Ella Lannister,spouse
Gerold Lannister,Alysanne Farman,spouse
Joanna Lannister,Tywin Lannister,spouse
Antario Jast,Lanna Lannister,spouse
Darlessa Marbrand,Tygett Lannister,spouse
Ermesande Hayford,Tyrek Lannister,spouse
Jason Lannister,Alys Stackspear,spouse
Lanna Lannister,Antario Jast,spouse
Shiera Crakehall,Damion Lannister,spouse
Tybolt Lannister,Teora Kyndall,spouse
Tyrek Lannister,Ermesande Hayford,spouse
Kevan Lannister,Dorna Swyft,spouse
Sansa Stark,Tyrion Lannister,spouse
Tywin Lannister,Joanna Lannister,spouse
Tysha,Tyrion Lannister,spouse
Tyrion Lannister,Tysha,spouse
Damion Lannister,Shiera Crakehall,spouse
Tygett Lannister,Darlessa Marbrand,spouse
Tytos Lannister,Jeyne Marbrand,spouse
Jason Lannister,Marla Prester,spouse
Gerold Lannister,Rohanne Webber,spouse
Doran Martell,Mellario of Norvos,spouse
Ellaria Sand,Oberyn Martell,spouse
Elia Martell,Rhaegar Targaryen,spouse
Rhaegar Targaryen,Elia Martell,spouse
Rodrik Stark son of Beron,Arya Flint,spouse
Brandon Stark son of Cregan,Alys Karstark,spouse
Catelyn Stark,Eddard Stark,spouse
Jeyne Westerling,Robb Stark,spouse
Artos Stark,Lysara Karstark,spouse
Beron Stark,Lorra Royce,spouse
Cregan Stark,Arra Norrey,spouse
Edwyle Stark,Marna Locke,spouse
Jonnel Stark,Robyn Ryswell,spouse
Rodwell Stark,Myriame Manderly,spouse
Willam Stark,Melantha Blackwood,spouse
Eddard Stark,Catelyn Stark,spouse
Rickard Stark,Lyarra Stark,spouse
Lyarra Stark,Rickard Stark,spouse
Willam Stark,Lyanna Glover,spouse
Sansa Stark,Ramsay Bolton,spouse
Cregan Stark,Lynara Stark,spouse
Talisa Stark,Robb Stark,spouse
Aerys II Targaryen,Rhaella Targaryen,spouse
Duncan Targaryen,Jenny of Oldstones,spouse
Maron Martell,Daenerys Targaryen,spouse
Daenerys Targaryen,Drogo,spouse
Hizdahr zo Loraq,Daenerys Targaryen,spouse
Rhaella Targaryen,Aerys II Targaryen,spouse
Drogo,Daenerys Targaryen,spouse
Daenerys Targaryen,Hizdahr zo Loraq,spouse
Minisa Whent,Hoster Tully,spouse
Hoster Tully,Minisa Whent,spouse
Petyr Baelish,Lysa Arryn,spouse
Lysa Arryn,Petyr Baelish,spouse
Lia Serry,Theodore Tyrell,spouse
Luthor Tyrell son of Moryn,Elyn Norridge,spouse
Olene Tyrell,Leo Blackbar,spouse
Elyn Norridge,Luthor Tyrell son of Moryn,spouse
Leo Blackbar,Olene Tyrell,spouse
Leonette Fossoway,Garlan Tyrell,spouse
Luthor Tyrell,Olenna Redwyne,spouse
Mina Tyrell,Paxter Redwyne,spouse
Theodore Tyrell,Lia Serry,spouse
Mace Tyrell,Alerie Hightower,spouse
Olenna Redwyne,Luthor Tyrell,spouse
Paxter Redwyne,Mina Tyrell,spouse
Alerie Hightower,Mace Tyrell,spouse
Garlan Tyrell,Leonette Fossoway,spouse
Jeyne Royce,Jon Arryn,spouse
Rowena Arryn,Jon Arryn,spouse
Stannis Baratheon,Selyse Florent,spouse
Ormund Baratheon,Rhaelle Targaryen,spouse
Roose Bolton,Walda Frey daughter of Merrett,spouse
Amerei Frey,Lancel Lannister,spouse
Walder Frey,Perra Royce,spouse
Walder Frey,Amarei Crakehall,spouse
Walder Frey,Bethany Rosby,spouse
Lady of House Stonetree,Quellon Greyjoy,spouse
Balon Greyjoy,Alannys Harlaw,spouse
Lady of House Sunderly,Quellon Greyjoy,spouse
Lady of House Piper,Quellon Greyjoy,spouse
Myranda Lefford,Stafford Lannister,spouse
Cerissa Brax,Damon Lannister,spouse
Ella Lannister,Damon Lannister son of Jason,spouse
Alysanne Farman,Gerold Lannister,spouse
Alys Stackspear,Jason Lannister,spouse
Teora Kyndall,Tybolt Lannister,spouse
Dorna Swyft,Kevan Lannister,spouse
Tyrion Lannister,Sansa Stark,spouse
Jeyne Marbrand,Tytos Lannister,spouse
Marla Prester,Jason Lannister,spouse
Rohanne Webber,Gerold Lannister,spouse
Mellario of Norvos,Doran Martell,spouse
Oberyn Martell,Ellaria Sand,spouse
Arya Flint,Rodrik Stark son of Beron,spouse
Alys Karstark,Brandon Stark son of Cregan,spouse
Robb Stark,Jeyne Westerling,spouse
Lysara Karstark,Artos Stark,spouse
Lorra Royce,Beron Stark,spouse
Arra Norrey,Cregan Stark,spouse
Marna Locke,Edwyle Stark,spouse
Robyn Ryswell,Jonnel Stark,spouse
Myriame Manderly,Rodwell Stark,spouse
Melantha Blackwood,Willam Stark,spouse
Lyanna Glover,Willam Stark,spouse
Ramsay Bolton,Sansa Stark,spouse
Lynara Stark,Cregan Stark,spouse
Robb Stark,Talisa Stark,spouse
Jenny of Oldstones,Duncan Targaryen,spouse
Daenerys Targaryen,Maron Martell,spouse
